concept:name,case:concept:name
A,0
A,1
D,0
A,2
B,1
F,0
A,3
B,2
C,1
A,4
E,0
B,3
A,5
C,2
A,1
D,4
G,0
A,6
C,3
B,5
A,2
A,7
B,1
H,0
F,4
D,6
C,5
A,3
D,2
A,8
B,7
C,1
E,4
F,6
A,5
A,9
B,3
B,8
F,2
C,7
A,10
A,1
G,4
E,6
D,5
D,9
C,3
A,11
E,2
C,8
A,7
B,10
B,1
G,6
I,4
A,12
A,3
F,5
F,9
D,11
G,2
A,8
B,7
C,1
C,10
A,13
J,4
D,12
F,11
E,5
I,6
E,9
I,2
D,3
A,14
D,8
A,10
C,7
D,13
A,1
K,4
A,15
E,11
G,5
F,12
F,3
J,2
J,6
G,9
F,8
D,14
A,7
F,13
A,16
B,10
B,1
M,4
G,11
D,15
H,5
E,12
E,3
L,2
I,9
A,17
E,8
B,7
F,14
K,6
C,1
D,16
E,13
C,10
O,4
A,18
I,11
F,15
G,12
G,3
J,9
M,2
C,7
G,8
M,6
E,14
F,16
B,17
A,10
A,19
G,13
A,1
J,11
B,18
E,15
H,3
H,12
E,16
N,2
A,20
L,9
A,7
C,17
I,8
N,6
G,14
I,13
D,19
D,10
D,1
C,18
L,11
A,21
G,16
M,9
D,7
G,15
B,20
A,17
J,8
J,13
A,22
I,14
F,19
A,18
F,10
F,1
D,21
M,11
I,16
H,15
O,9
C,20
A,23
D,17
F,7
E,1
L,13
J,14
L,8
D,22
D,18
E,19
F,21
E,10
A,24
J,16
O,11
A,20
D,23
E,7
F,17
G,1
K,14
A,25
M,13
M,8
G,19
F,22
F,18
G,10
D,20
F,23
D,24
L,16
A,26
G,7
E,17
M,14
H,1
D,25
E,22
N,13
I,19
N,8
H,10
E,18
F,20
A,27
E,23
F,24
D,26
G,17
H,7
M,16
F,25
N,14
A,28
G,22
J,19
E,20
B,27
G,18
F,26
G,23
I,17
A,29
O,16
E,25
H,22
B,28
G,20
K,19
C,27
A,30
E,26
H,23
I,18
D,29
J,17
G,25
C,28
A,31
M,19
H,20
G,26
A,27
B,30
F,29
I,25
A,32
J,18
L,17
B,31
A,28
A,33
O,19
H,26
D,27
C,30
D,32
E,29
M,17
J,25
L,18
C,31
A,34
B,28
D,33
F,27
A,30
G,29
N,17
A,35
F,32
K,25
M,18
D,34
A,31
E,27
C,28
F,33
H,29
B,30
E,32
D,35
M,25
N,18
D,31
A,37
F,34
G,27
E,33
C,30
A,28
G,32
A,38
N,25
B,37
F,35
F,31
I,27
A,30
G,33
E,34
B,28
A,39
I,32
B,38
E,35
C,37
J,27
A,40
E,31
B,30
I,33
D,39
E,36
C,28
G,34
J,32
A,41
C,38
G,35
G,31
L,27
A,37
B,40
J,33
C,30
F,39
A,42
G,36
I,34
A,28
L,32
B,41
C,40
B,37
A,38
M,27
H,35
H,31
A,30
A,43
L,33
E,39
B,42
H,36
J,34
B,28
A,44
C,37
M,32
B,38
C,41
A,40
B,43
N,27
M,33
G,39
D,30
C,42
A,45
C,28
L,34
C,38
N,32
A,41
A,37
D,40
B,44
N,33
C,43
F,30
A,46
H,39
M,34
D,45
A,42
A,28
D,41
A,47
F,40
C,44
B,37
A,38
A,43
E,30
N,34
A,48
F,45
B,42
D,46
F,41
B,28
E,40
D,43
C,37
A,44
B,47
G,30
D,38
A,49
C,42
E,45
D,48
F,46
C,28
E,41
G,40
A,37
A,50
F,43
F,38
I,30
C,47
B,49
D,44
A,42
A,51
F,48
G,45
G,41
B,37
H,40
E,43
A,28
B,50
E,46
E,38
C,49
J,30
A,47
F,44
A,52
D,51
E,48
B,42
I,45
I,41
C,37
A,53
G,46
C,50
G,43
B,28
A,49
K,30
G,38
D,47
B,52
E,44
C,42
A,54
G,48
F,51
J,45
